seed file num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed
53 1712601353 550 302500 -72.96460892618076 0.3965557211458851 -0.43327643466992544 0.05446928299387317
53 1712601353 550 302500 -75.34696259668515 0.407070707070707 -0.2892772295539529 0.047370425567146865
53 1712601353 550 302500 -76.09204691809315 0.414408014571949 -0.38360272886674107 0.0544841861235304
53 1712601353 550 302500 -75.65231225917016 0.4038748137108793 -0.3269354454981526 0.04783242258652093
53 1712601353 550 302500 -73.77082095381033 0.400327868852459 -0.3121693237565875 0.049162112932604723

53 1712601353 600 360000 -75.18871292421183 0.4066652754590985 -0.2796798909633994 0.046299387868669994
53 1712601353 600 360000 -74.02974875366769 0.40390094602114635 -0.24153380928935697 0.04649137451307733
53 1712601353 600 360000 -73.52654378635549 0.39626321647189755 -0.30701449615111304 0.04874513077351141
53 1712601353 600 360000 -74.41273554216941 0.40962993878686704 -0.3945006347169554 0.0536240957150807
53 1712601353 600 360000 -74.50921908002024 0.3936894824707846 -0.3115211286596109 0.04716889259877572

53 1712601353 650 422500 -73.91899657596085 0.39973213227450516 -0.2992868701266336 0.05012563707478963
53 1712601353 650 422500 -74.7525409893661 0.41112480739599383 -0.25984615384609927 0.05088775631148511
53 1712601353 650 422500 -75.0646337822641 0.4064560862865948 -0.31271950352462363 0.050464620125637086
53 1712601353 650 422500 -75.7209567822934 0.41586108806447786 -0.2587629425949172 0.04758207893801114
53 1712601353 650 422500 -75.44200157975338 0.39985421358302714 -0.4115953048655805 0.05380348465094229

53 1712601353 700 490000 -72.80676546814404 0.39273962804005724 -0.400521847816331 0.053365011240547704
53 1712601353 700 490000 -73.22586016970524 0.3941446965052115 -0.34035617766858467 0.05062027386061723
53 1712601353 700 490000 -74.51781183752959 0.4057847946045371 -0.31855651518163364 0.05000408747189865
53 1712601353 700 490000 -76.21991224250374 0.41463212752912326 -0.35028482333392713 0.05123135090946247
53 1712601353 700 490000 -74.59967466098021 0.40307071326384625 -0.23775539178444458 0.047376864909053754

53 1712601353 750 562500 -74.17049022737379 0.40269959946595457 -0.2585528849042672 0.04688651535380506
53 1712601353 750 562500 -75.26893027759813 0.4136234979973298 -0.35767573639787953 0.05303871829105475
53 1712601353 750 562500 -74.8087412914704 0.4043631508678238 -0.19392187423761972 0.04538050734312417
53 1712601353 750 562500 -75.01425280695574 0.4 -0.3590625420042674 0.05192523364485983
53 1712601353 750 562500 -74.80501546640933 0.40306186025812196 -0.32399898980260616 0.05089007565643078

53 1712601353 800 640000 -74.21833615715416 0.3989823216520651 -0.2406614635453116 0.04654724655819775
53 1712601353 800 640000 -73.95270891256614 0.40233807884856065 -0.3473431532528624 0.05155897997496872
53 1712601353 800 640000 -75.82944933030261 0.4084441489361702 -0.3193996334215364 0.05137672090112642
53 1712601353 800 640000 -73.21760539803141 0.4022755006257822 -0.28025280092028704 0.04715269086357947
53 1712601353 800 640000 -74.8677636048069 0.40715660200250314 -0.26307638506154013 0.04654489987484356

53 1712601353 850 722500 -76.09562219062614 0.4094616503845354 -4.20486457301751 0.07730450577800699
53 1712601353 850 722500 -74.29800063365154 0.4069950807177995 -0.3070459014228922 0.04990730441230999
53 1712601353 850 722500 -76.43655890202999 0.4127790480149657 -0.3614243116283223 0.05245705104437026
