seed file num_of_enroll n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed
83 1712189783 14 1012036 14168504 -59.8580504570877 0.27320900467839726 -3.6694759283205207 0.1561536255106179

83 1712189783 15 1012036 15180540 -59.718529791141854 0.2714118275422094 -3.701088173740997 0.15808432984184445
83 1712189783 15 1012036 15180540 -59.438907631924046 0.270233326409701 -3.6141341120692005 0.1531161290960703
83 1712189783 15 1012036 15180540 -59.95208165239896 0.27128126761817156 -3.6593544374396667 0.15417692847887798
83 1712189783 15 1012036 15180540 -60.1197231622013 0.27326538282741364 -3.570911744965004 0.1502324362284007
83 1712189783 15 1012036 15180540 -59.73585488413917 0.2721699652829293 -3.6319629858203295 0.1539336122568074

83 1712189783 16 1012036 16192576 -60.268703629148725 0.2751115199351157 -3.7269536194909776 0.15976479431866514
83 1712189783 16 1012036 16192576 -59.89727999569656 0.2700266065299744 -3.703953878317755 0.15692511597084163
83 1712189783 16 1012036 16192576 -60.33300575947608 0.2735789244631712 -3.6345621191355306 0.15391877590180314
83 1712189783 16 1012036 16192576 -59.962525646321716 0.27218133982176596 -3.7077404347198595 0.15814614798769572
83 1712189783 16 1012036 16192576 -60.33620163778767 0.27748978764230536 -3.796292177457673 0.1626277162893287

83 1712189783 17 1012036 17204612 -59.98062667513182 0.27352897540132337 -3.714144486956089 0.15905314382362543
83 1712189783 17 1012036 17204612 -59.957957663515295 0.2736209608023501 -3.625004645392109 0.15303996914038157
83 1712189783 17 1012036 17204612 -59.81794883907528 0.26852516740353893 -3.6956670738992976 0.15597954561190075
83 1712189783 17 1012036 17204612 -60.29498389990913 0.2733588518639407 -3.7443988883973804 0.15953928172259974
83 1712189783 17 1012036 17204612 -59.84119819777557 0.27291178303314445 -3.6116429911049193 0.1521923187244691

83 1712189783 18 1012036 18216648 -59.92507375328724 0.27355963720166565 -3.6787371467093584 0.15592910200488613
83 1712189783 18 1012036 18216648 -59.90659133549353 0.27132083123151635 -3.727283106565027 0.15919062737999862
83 1712189783 18 1012036 18216648 -59.759507995581835 0.2717110273681296 -3.613219808166213 0.1520840133329377
83 1712189783 18 1012036 18216648 -59.8438753236684 0.27088315875888946 -3.69590250795189 0.15690335598350197
83 1712189783 18 1012036 18216648 -59.92173678035316 0.27287172487463285 -3.64344441451766 0.15397911041215395

83 1712189783 19 1012036 19228684 -59.79688981992101 0.2694949704756536 -3.6981118395544255 0.15613928370078042
83 1712189783 19 1012036 19228684 -59.64042890334902 0.2690523525513585 -3.6144432259733263 0.15207659515543553
83 1712189783 19 1012036 19228684 -59.92319170743491 0.2724602632958468 -3.6652009265034886 0.15491281168709137
83 1712189783 19 1012036 19228684 -59.767549915751346 0.2713317112251862 -3.678167093798792 0.15585541477503143
83 1712189783 19 1012036 19228684 -59.691718199258695 0.2723316815524762 -3.666687749991668 0.1548752262544138

83 1712189783 20 1012036 20240720 -59.58613462620027 0.2680538658595689 -3.695997420970156 0.15614076733628085
83 1712189783 20 1012036 20240720 -59.78507417972926 0.2690810361710335 -3.596775728404123 0.1497052510805812
83 1712189783 20 1012036 20240720 -60.410965420421554 0.276029890309882 -3.6608492451117116 0.154973640742609
83 1712189783 20 1012036 20240720 -60.29481551017075 0.2775214385329813 -3.5939093782871225 0.1503006834614205
